"Table S2 Table of all isolates included in analyses and associated accession numbers. Isolate name includes collection year (2005 = 05), collection host plant (LoS = Lotus strigosus), and plant number followed by nodule number isolate was cultured from (1_2 = plant 1, nodule 2). Within locus haplotypes also defined such that all isolates with the same R01 designation have exactly the same sequenced recAloci. Chromosome (CHR) and symbiosis island (SI)  haplotypes are concatenations of the appropriate loci. Xs indicate loci that failed to amplify and/or sequence properly.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Inoculation #,Strain Name,Population,Latitude ,Longitude,glnII,,recA,,nodZ,,nolL,,chromosome haplotype (CHR),CHR genotype frequency,symbiosis island  haplotye (SI),SI genotype frequency,
142,11LoS29_1,Robert J. Bernard Biological Field Station, 34.110550°,-117.708983°,G71,KM195059,R212,KM195955,Z20,KP832880,L16,KP832528,G71_R212,0.0147,Z20_L16,0.0294,
143,11LoS14_3,Robert J. Bernard Biological Field Station, 34.110550°,-117.708983°,G71,KM194989,R32,KM195885,Z43,KP832812,L16,KP832458,G71_R32,0.1618,Z43_L16,0.0147,
144,11LoS13_1,Robert J. Bernard Biological Field Station, 34.110550°,-117.708983°,G03,KM194985,R34,KM195881,Z02,KP832808,L15,KP832454,G03_R34,0.0147,Z02_L15,0.0735,
145,11LoS15_1,Robert J. Bernard Biological Field Station, 34.110517°,-117.708450°,G11,KM194992,R05,KM195888,Z19,KP832815,L08,KP832461,G11_R05,0.0588,Z19_L08,0.0294,
146,11LoS17_12,Robert J. Bernard Biological Field Station, 34.110517°,-117.708450°,G72,KM195005,R01,KM195901,Z02,KP832828,L04,KP832474,G72_R01,0.0147,Z02_L04,0.1912,
147,13LoS58_2,University of California Riverside,33.966,-117.32271,G58,KP830702,R34,KP831601,Z10,MF158624,L80,MF158625,G58_R34,0.0114,Z10_L80,0.0526,
148,09LoS35R1_21,University of California Riverside, 33.965933°,-117.323000°,G22,KP830173,R80,KP831072,X,NA,X,NA,G22_R80,N/A,N/A,N/A,
149,09LoS38R4_7,University of California Riverside, 33.965850°,-117.322950°,G59,KP830369,R21,KP831268,Z13,MF149040,L23,MF149045,G59_R21,0.0114,Z13_L23,0.0526,
150,09LoS36_1,University of California Riverside, 33.965933°,-117.323000°,G03,KM194918,R07,KM195814,Z02,KP832760,L04,KP832405,G03_R07,0.0795,Z02_L04,0.3684,
151,09LoS36_3,University of California Riverside, 33.965933°,-117.323000°,G03,KM194920,R159,KM195816,Z07,KP832762,L04,KP832407,G03_R159,0.0114,Z07_L04,0.0526,
152,09LoS38R12_17,University of California Riverside, 33.965850°,-117.322950°,G04,KP830420,R07,KP831319,X,NA,X,NA,G04_R07,0.0114,N/A,N/A,
153,11LoS33_4,Burns Pinon Ridge Reserve, 34.153150°,-116.475117°,G62,KM195068,R19,KM195964,Z13,KP832898,L18,KP832546,G62_R19,0.0256,Z13_L18,0.0714,
154,11LoS33_1,Burns Pinon Ridge Reserve, 34.153150°,-116.475117°,G40,KM195065,R38,KM195961,Z15,KP832895,L34,KP832543,G40_R38,0.1282,Z15_L34,0.2143,
155,11LoS34_2,Burns Pinon Ridge Reserve, 34.153150°,-116.475117°,G11,KM195071,R07,KM195967,Z02,KP832901,L04,KP832548,G11_R07,0.2308,Z02_L04,0.2857,
156,11LoS34_4,Burns Pinon Ridge Reserve, 34.153150°,-116.475117°,G03,KM195073,R01,KM195969,Z02,KP832903,L04,KP832550,G03_R01,0.6154,Z02_L04,0.2857,
157,11LoS31_5,Anza Borrego Desert State Park,33.2713°,-116.4194°,G223,KP830501,R213,KP831400,Z49,KP832890,L25,KP832538,G223_R213,0.0227,Z49_L25,0.0222,
158,12LoS20_1,Anza Borrego Desert State Park,32.99015°,-116.4447°,G58,KP830508,R27,KP831407,Z15,KP832963,L37,KP832612,G58_R27,0.5227,Z15_L37,0.0667,
159,11LoS31_1,Anza Borrego Desert State Park,33.2713°,-116.4194°,G62,KP830497,R03,KP831396,Z13,KP832886,L18,KP832534,G62_R03,0.0227,Z13_L18,0.1333,
160,12LoS21_12,Anza Borrego Desert State Park,32.99015°,-116.4447°,G58,KP830537,R27,KP831436,Z10,KP832991,L24,KP832640,G58_R222,0.0227,Z25_L21,0.0444,
161,12LoS20_4,Anza Borrego Desert State Park,32.99015°,-116.4447°,G60,KP830511,R220,KP831410,X,NA,X,NA,G60_R220,N/A,N/A,N/A,
